date	flights_per_date
2020-01-09	16
2020-01-10	19
2020-01-11	18
2020-01-12	12
2020-01-13	6
2020-01-14	11
2020-01-15	12
2020-01-16	20
2020-01-17	8
2020-01-18	8
2020-01-19	13
2020-01-20	12
2020-01-21	4
2020-01-22	17
2020-01-23	15
2020-01-24	6
2020-01-25	14
2020-01-26	14
2020-01-27	14
2020-01-28	18
2020-01-29	32
2020-01-30	19
2020-01-31	14
2020-02-01	24
2020-02-02	17
2020-02-03	9
2020-02-04	12
2020-02-05	15
2020-02-06	16
2020-02-07	11
2020-02-08	16
2020-02-09	12
2020-02-10	10
2020-02-11	10
2020-02-12	18
2020-02-13	21
2020-02-14	19
2020-02-15	17
2020-02-16	26
2020-02-17	15
2020-02-18	5
2020-02-19	8
2020-02-20	5
2020-02-21	22
2020-02-22	20
2020-02-23	24
2020-02-24	13
2020-02-25	5
2020-02-26	20
2020-02-27	29
2020-02-28	10
2020-02-29	11
2020-03-01	24
2020-03-02	19
2020-03-03	20
2020-03-04	18
2020-03-05	19
2020-03-06	12
2020-03-07	23
2020-03-08	25
2020-03-09	20
2020-03-10	26
2020-03-11	19
2020-03-12	28
2020-03-13	16
2020-03-14	23
2020-03-15	24
2020-03-16	13
2020-03-17	25
2020-03-18	8
2020-03-19	13
2020-03-20	13
2020-03-21	30
2020-03-22	12
2020-03-23	8
2020-03-24	18
2020-03-25	13
2020-03-26	31
2020-03-27	25
2020-03-28	23
2020-03-29	13
2020-03-30	25
2020-03-31	14
2020-04-01	15
2020-04-02	18
2020-04-03	11
2020-04-04	13
2020-04-05	24
2020-04-06	29
2020-04-07	16
2020-04-08	22
2020-04-09	23
2020-04-10	22
2020-04-11	28
2020-04-12	13
2020-04-13	21
2020-04-14	22
2020-04-15	18
2020-04-16	26
2020-04-17	34
2020-04-18	45
2020-04-19	17
2020-04-20	17
2020-04-21	31
2020-04-22	40
2020-04-23	36
2020-04-24	41
2020-04-25	35
2020-04-26	27
2020-04-27	30
2020-04-28	41
2020-04-29	22
2020-04-30	27
2020-05-01	32
2020-05-02	27
2020-05-03	34
2020-05-04	24
2020-05-05	19
2020-05-06	14
2020-05-07	25
2020-05-08	18
2020-05-09	29
2020-05-10	36
2020-05-11	22
2020-05-12	28
2020-05-13	55
2020-05-14	25
2020-05-15	19
2020-05-16	7
2020-05-17	3
2020-05-18	8
2020-05-20	3
2020-05-21	5
2020-05-22	10
2020-05-23	2
2020-05-24	4
2020-05-25	3
2020-05-26	4
2020-05-27	23
2020-05-28	3
2020-05-29	7
2020-05-31	6
2020-06-01	7
2020-06-03	22
2020-06-04	45
2020-06-05	47
2020-06-06	34
2020-06-07	35
2020-06-08	34
2020-06-09	38
2020-06-10	20
2020-06-11	15
2020-06-12	15
2020-06-13	25
2020-06-14	15
2020-06-15	22
2020-06-16	15
2020-06-17	29
2020-06-18	40
2020-06-19	18
2020-06-20	16
2020-06-21	6
2020-06-22	20
2020-06-23	34
2020-06-24	23
2020-06-25	31
2020-06-26	26
2020-06-27	26
2020-06-28	20
2020-06-29	36
2020-06-30	30
2020-07-01	39
2020-07-02	17
2020-07-03	27
2020-07-04	17
2020-07-05	16
2020-07-06	4
2020-07-07	12
2020-07-08	15
2020-07-09	22
2020-07-10	37
2020-07-11	20
2020-07-12	19
2020-07-13	18
2020-07-14	13
2020-07-15	15
2020-07-16	26
2020-07-17	19
2020-07-18	19
2020-07-19	15
2020-07-20	17
2020-07-21	22
2020-07-22	22
2020-07-23	13
2020-07-24	12
2020-07-25	9
2020-07-26	15
2020-07-27	23
2020-07-28	19
2020-07-29	27
2020-07-30	27
2020-07-31	15
2020-08-01	22
2020-08-02	2
2020-08-03	14
2020-08-04	33
2020-08-05	40
2020-08-06	46
2020-08-07	30
2020-08-08	21
2020-08-09	20
2020-08-10	13
2020-08-11	16
2020-08-12	20
2020-08-13	17
2020-08-14	25
2020-08-15	16
2020-08-16	7
2020-08-17	16
2020-08-18	33
2020-08-19	33
2020-08-20	26
2020-08-21	18
2020-08-22	11
2020-08-23	11
2020-08-24	11
2020-08-25	14
2020-08-26	12
2020-08-27	19
2020-08-28	21
2020-08-29	12
2020-08-30	10
2020-08-31	16
2020-09-01	9
2020-09-02	19
2020-09-03	6
2020-09-04	14
2020-09-05	11
2020-09-06	18
2020-09-07	17
2020-09-08	21
2020-09-09	8
2020-09-10	31
2020-09-11	57
2020-09-12	30
2020-09-13	31
2020-09-14	15
2020-09-15	37
2020-09-16	21
2020-09-17	29
2020-09-18	36
2020-09-19	27
2020-09-20	8
2020-09-21	18
2020-09-22	14
2020-09-23	13
2020-09-24	26
2020-09-25	36
2020-09-26	34
2020-09-27	20
2020-09-28	13
2020-09-29	19
2020-09-30	27
2020-10-01	32
2020-10-02	2
